CO,NO2,O3,PM10,PM2.5,SO2,label
0.54,19.0,43.0,104.0,43.0,4.1,2
0.6,23.0,40.0,101.0,44.0,4.0,2
0.75,29.0,32.0,99.0,42.0,3.7,1
0.8,30.0,33.0,95.0,40.0,3.7,1
0.74,26.0,36.0,90.0,43.0,3.6,1
0.67,23.0,39.0,84.0,40.0,3.5,1
0.66,22.0,38.0,83.0,37.0,3.5,1
0.57,17.0,42.0,82.0,37.0,3.3,1
0.45,11.0,47.0,83.0,36.0,3.3,1
0.4,7.3,51.0,83.0,36.0,3.5,1
0.36,6.2,51.0,79.0,32.0,2.5,1
0.34,5.6,52.0,79.0,29.0,2.6,1
0.34,5.6,53.0,78.0,31.0,2.4,1
0.36,5.9,51.0,75.0,31.0,2.4,1
0.39,9.0,48.0,78.0,31.0,2.4,1
0.54,21.0,35.0,83.0,34.0,2.4,1
0.93,31.0,25.0,83.0,36.0,3.0,1
1.0,31.0,27.0,84.0,36.0,3.0,1
0.76,28.0,30.0,87.0,36.0,3.1,1
0.52,21.0,0.0,78.0,30.0,1.8,1
0.5,20.0,41.0,66.0,27.0,1.8,1
0.54,18.0,38.0,59.0,26.0,1.7,1
0.68,25.0,30.0,61.0,29.0,1.8,1
0.81,29.0,24.0,67.0,35.0,1.8,1
1.02,32.0,20.0,66.0,36.0,1.8,1
1.0,34.0,17.0,64.0,34.0,1.9,1
1.04,40.0,12.0,66.0,33.0,1.5,1
0.9,35.0,15.0,67.0,36.0,1.7,1
0.98,37.0,11.0,65.0,33.0,2.0,1
0.88,32.0,15.0,61.0,31.0,2.0,1
0.84,33.0,5.3,62.0,36.0,2.5,1
0.63,24.0,6.1,60.0,38.0,3.4,1
0.64,27.0,1.9,59.0,38.0,4.9,1
0.6,24.0,2.7,62.0,41.0,4.5,1
0.52,22.0,2.0,61.0,40.0,4.7,1
0.58,24.0,0.7,64.0,38.0,5.9,1
0.68,27.0,1.1,73.0,44.0,5.4,1
0.72,24.0,18.0,79.0,38.0,3.0,1
0.65,21.0,24.0,84.0,29.0,2.3,1
0.43,17.0,30.0,89.0,27.0,2.3,1
0.37,16.0,25.0,88.0,27.0,1.8,1
0.37,8.6,49.0,62.0,27.0,2.0,1
0.36,10.0,52.0,66.0,31.0,2.0,1
0.36,10.0,54.0,64.0,32.0,1.9,1
0.42,13.0,51.0,60.0,32.0,2.0,1
0.56,21.0,45.0,70.0,33.0,2.9,1
0.92,32.0,31.0,81.0,35.0,2.9,1
1.39,52.0,8.3,92.0,41.0,3.2,1
1.38,54.0,4.7,100.0,44.0,3.9,1
1.03,41.0,16.0,95.0,41.0,2.3,1
1.53,46.0,7.0,87.0,41.0,3.2,1
1.76,49.0,1.2,84.0,46.0,6.0,1
1.55,48.0,0.7,89.0,47.0,6.0,1
1.54,43.0,0.8,87.0,46.0,2.9,1
1.16,40.0,0.9,82.0,45.0,4.7,1
0.85,36.0,0.9,84.0,46.0,7.5,1
0.63,33.0,1.9,81.0,46.0,7.5,1
0.7,32.0,1.3,72.0,40.0,6.1,1
0.75,33.0,1.4,66.0,36.0,6.1,1
1.19,34.0,3.3,67.0,35.0,6.4,1
1.22,40.0,5.4,75.0,35.0,10.0,1
1.06,40.0,21.0,88.0,38.0,8.3,1
0.55,15.0,51.0,98.0,43.0,5.2,1
0.53,12.0,57.0,109.0,43.0,5.3,2
0.65,15.0,59.0,126.0,50.0,5.5,2
0.79,22.0,51.0,139.0,64.0,5.5,2
0.83,26.0,52.0,144.0,67.0,5.4,2
0.88,33.0,47.0,144.0,68.0,5.4,2
0.85,27.0,49.0,142.0,70.0,5.4,2
0.84,26.0,53.0,134.0,63.0,5.5,2
0.98,34.0,41.0,128.0,62.0,5.5,2
1.03,39.0,33.0,125.0,68.0,4.8,2
1.0,36.0,34.0,122.0,66.0,4.8,2
1.06,40.0,27.0,115.0,59.0,4.7,2
0.99,37.0,25.0,108.0,58.0,4.3,2
0.78,27.0,31.0,100.0,53.0,4.0,1
0.62,18.0,37.0,89.0,45.0,4.1,1
0.51,13.0,39.0,82.0,43.0,4.4,1
0.43,9.5,40.0,73.0,37.0,3.5,1
0.42,8.9,35.0,65.0,36.0,3.5,1
0.43,9.6,35.0,62.0,38.0,3.6,1
0.45,13.0,32.0,61.0,36.0,3.3,1
0.54,26.0,17.0,60.0,36.0,3.6,1
0.94,34.0,11.0,64.0,38.0,4.5,1
1.12,36.0,12.0,72.0,40.0,5.1,1
0.9,31.0,26.0,83.0,41.0,5.4,1
0.64,21.0,39.0,86.0,43.0,4.6,1
0.65,19.0,42.0,79.0,41.0,4.8,1
0.56,16.0,49.0,67.0,37.0,4.6,1
0.51,15.0,50.0,56.0,35.0,4.3,1
0.54,19.0,49.0,60.0,34.0,4.4,1
